scenario,Estimate,Std. Error,Pr(>|z|),OR,OR_lo,OR_hi
WomenChildcare,-0.34,0.125,0.006,0.712,0.557,0.909
BuddyProgram,-0.259,0.127,0.041,0.772,0.602,0.99
Winter50,-0.235,0.118,0.048,0.791,0.627,0.997
No Indoor Continuity,-0.221,0.108,0.041,0.802,0.648,0.991
RotatingGroups,-0.177,0.113,0.118,0.837,0.67,1.046
Targeting90,0.065,0.109,0.548,1.067,0.863,1.321
Targeting70,0.111,0.107,0.3,1.117,0.906,1.377
Targeting50,0.232,0.104,0.025,1.261,1.029,1.545
NoIndoor Minimal,0.349,0.093,0,1.418,1.181,1.703
Minimal Support,0.438,0.095,0,1.549,1.287,1.864
