scenario,n_results_files,n_runs_loaded,n_panel_files,n_edge_files,has_panel,has_edges,scenario_type,timestamp
Baseline,300,300,300,300,TRUE,TRUE,Lever,2026-05-22 15:57:17
No Indoor Continuity,300,300,300,300,TRUE,TRUE,Lever,2026-05-22 15:57:17
Minimal Support,300,300,300,300,TRUE,TRUE,Lever,2026-05-22 15:57:17
Low Park Density,500,500,500,500,TRUE,TRUE,Lever,2026-05-22 15:57:17
Weak Peer Influence,500,500,500,500,TRUE,TRUE,Lever,2026-05-22 15:57:17
Suboptimal Composition,300,300,300,300,TRUE,TRUE,Lever,2026-05-22 15:57:17
High SES Heterogeneity,300,300,300,300,TRUE,TRUE,Context,2026-05-22 15:57:17
Women-Only Groups,500,500,500,500,TRUE,TRUE,Lever,2026-05-22 15:57:17
NoIndoor Minimal,300,300,300,300,TRUE,TRUE,Lever,2026-05-22 15:57:17
Targeting50,300,300,300,300,TRUE,TRUE,Lever,2026-05-22 15:57:17
Targeting70,300,300,300,300,TRUE,TRUE,Lever,2026-05-22 15:57:17
Targeting90,300,300,300,300,TRUE,TRUE,Lever,2026-05-22 15:57:17
BuddyProgram,300,300,300,300,TRUE,TRUE,Lever,2026-05-22 15:57:17
RotatingGroups,300,300,300,300,TRUE,TRUE,Lever,2026-05-22 15:57:17
Winter50,300,300,300,300,TRUE,TRUE,Lever,2026-05-22 15:57:17
WomenChildcare,300,300,300,300,TRUE,TRUE,Lever,2026-05-22 15:57:17
Composition2,300,300,300,300,TRUE,TRUE,Lever,2026-05-22 15:57:17
Composition3,300,300,300,300,TRUE,TRUE,Lever,2026-05-22 15:57:17
Composition4,300,300,300,300,TRUE,TRUE,Lever,2026-05-22 15:57:17
OpenPopulation,300,300,300,300,TRUE,TRUE,Lever,2026-05-22 15:57:17
SuboptimalOpen,300,300,300,300,TRUE,TRUE,Lever,2026-05-22 15:57:17
CentralityBuddy,300,300,300,300,TRUE,TRUE,Lever,2026-05-22 15:57:17
RandomBuddy,300,300,300,300,TRUE,TRUE,Lever,2026-05-22 15:57:17
