scenario,n_runs,mean_cross,sd_cross,mean_iso_pct,sd_iso_pct,mean_high_pct,sd_high_pct
Baseline,300,0.5884333333333334,0.1666888201553166,67.46,6.143359794543813,6.913333333333334,3.788623467896203
No Indoor Continuity,300,0.2899333333333333,0.09926483388580672,79.30666666666667,5.228487271929748,1.6833333333333331,1.5784042857221903
Minimal Support,300,0.3916,0.1247878735211336,75.39666666666666,5.712685135767913,3.5033333333333334,2.5504912417289374
Low Park Density,500,0.4915,0.14372495861003015,70.238,6.1589952463766116,4.77,2.9500008491558143
Weak Peer Influence,500,0.53296,0.14382005010994564,69.728,5.7351372781476035,5.930000000000001,3.159281900091938
Suboptimal Composition,300,0.15303333333333333,0.06961287282127006,89.66333333333333,3.800632171789279,1.2466666666666668,1.0784397665094
High SES Heterogeneity,300,0.6743,0.1768977653843974,64.25999999999999,6.411663702825273,8.553333333333333,3.9715319178882234
Women-Only Groups,500,0.53326,0.1504794355420105,69.432,6.118516854352377,5.906000000000001,3.3405812317517234
NoIndoor Minimal,300,0.20306666666666665,0.0724529294012208,84.39999999999999,4.386815149649077,0.8566666666666667,1.0455138543419487
Targeting50,300,0.5029,0.15774939907872548,70.85000000000001,5.942942189935022,5.386666666666667,3.4307027404308204
Targeting70,300,0.5171,0.15579096920860508,70.17999999999999,6.0478250049889715,5.573333333333333,3.4308197225713877
Targeting90,300,0.5415333333333333,0.1659843916853814,69.01,6.547222342439412,5.94,3.6671368908984867
BuddyProgram,300,0.7006666666666667,0.18377740886441565,62.65666666666667,6.352424725135853,8.806666666666667,4.255543960948757
RotatingGroups,300,0.5143666666666666,0.1565726098740287,70.49,5.846695319053842,5.516666666666667,3.456812703795116
Winter50,300,0.5229666666666667,0.15190936026022592,70.04666666666667,5.862797700627564,5.87,3.364147981108441
WomenChildcare,300,0.5683333333333334,0.1550506084891804,68.12,6.017166079261737,6.336666666666667,3.441336690339451
Composition2,300,0.2890333333333333,0.09875173537557631,81.93666666666667,4.622106494920925,2.63,1.8987145801452565
Composition3,300,0.40143333333333336,0.12768957532905573,76.27666666666667,5.368693053798898,4.136666666666667,2.6485287558928876
Composition4,300,0.5105666666666666,0.15681618733703892,71.08,6.1996008070862185,5.663333333333333,3.402240392425023
OpenPopulation,300,0.4557998117872467,0.12237808632182494,73.30030907866367,4.932871696818548,4.739801561375937,2.778248804517232
SuboptimalOpen,300,0.11728271673730863,0.05638955162916945,91.82351728275574,3.193568397755169,0.8228643871114203,0.7816612444002965
CentralityBuddy,300,0.7598333333333334,0.19632656286532021,60.75000000000001,6.64540226302804,9.876666666666667,4.4812641053795055
RandomBuddy,300,0.7757666666666667,0.21454567121948395,60.32666666666666,6.760100003877925,10.38,5.086108038891575
