scenario,breed,gender,n,mean_cross_friends,prop_isolated_pct,prop_high_pct
Baseline,local,female,3815,1.15,39.9,14.2
Baseline,local,male,3685,1.171,39.3,15.3
Baseline,refugee,female,11339,0.368,78.3,4
Baseline,refugee,male,11161,0.428,75.2,4.6
No Indoor Continuity,local,female,3815,0.584,58.7,3.7
No Indoor Continuity,local,male,3685,0.56,59.1,2.7
No Indoor Continuity,refugee,female,11339,0.177,87.3,1
No Indoor Continuity,refugee,male,11161,0.215,84.9,1.4
Minimal Support,local,female,3815,0.772,50.7,6.4
Minimal Support,local,male,3685,0.777,49.4,5.9
Minimal Support,refugee,female,11339,0.218,86.2,2.1
Minimal Support,refugee,male,11161,0.31,81.4,3.2
Low Park Density,local,female,6344,0.956,45,9.8
Low Park Density,local,male,6156,0.974,44.3,10.7
Low Park Density,refugee,female,18754,0.308,80.1,2.6
Low Park Density,refugee,male,18746,0.359,77.5,3.2
Weak Peer Influence,local,female,6344,1.044,43.3,12.8
Weak Peer Influence,local,male,6156,1.066,41.7,12.4
Weak Peer Influence,refugee,female,18754,0.336,79.8,3.4
Weak Peer Influence,refugee,male,18746,0.382,77.7,4
Suboptimal Composition,local,female,3815,0.29,86.3,4.4
Suboptimal Composition,local,male,3685,0.318,86.3,5.2
Suboptimal Composition,refugee,female,11339,0.092,91.8,0.1
Suboptimal Composition,refugee,male,11161,0.114,89.7,0.1
High SES Heterogeneity,local,female,3815,1.317,36.7,19.2
High SES Heterogeneity,local,male,3685,1.353,35.9,19.9
High SES Heterogeneity,refugee,female,11339,0.432,74.8,4.6
High SES Heterogeneity,refugee,male,11161,0.477,72.4,5.2
Women-Only Groups,local,female,6344,1.033,44.3,12.4
Women-Only Groups,local,male,6156,1.068,42.8,13.2
Women-Only Groups,refugee,female,18754,0.29,81.3,2.4
Women-Only Groups,refugee,male,18746,0.432,74.8,4.8
NoIndoor Minimal,local,female,3815,0.406,66.9,0.9
NoIndoor Minimal,local,male,3685,0.392,68.5,1.1
NoIndoor Minimal,refugee,female,11339,0.117,91.3,0.6
NoIndoor Minimal,refugee,male,11161,0.159,88.7,1
Targeting50,local,female,3815,0.984,44.2,10.8
Targeting50,local,male,3685,0.999,42.5,10.7
Targeting50,refugee,female,11339,0.308,81.8,3.2
Targeting50,refugee,male,11161,0.373,78.2,4
Targeting70,local,female,3815,1.007,44,11.1
Targeting70,local,male,3685,1.037,41.3,11.6
Targeting70,refugee,female,11339,0.323,80.8,3.3
Targeting70,refugee,male,11161,0.375,77.9,4
Targeting90,local,female,3815,1.087,40.5,13.1
Targeting90,local,male,3685,1.055,42.2,12.1
Targeting90,refugee,female,11339,0.334,79.6,3.3
Targeting90,refugee,male,11161,0.396,76.8,4.1
BuddyProgram,local,female,3815,1.361,36.5,19.9
BuddyProgram,local,male,3685,1.356,35,19.4
BuddyProgram,refugee,female,11339,0.455,72.9,4.7
BuddyProgram,refugee,male,11161,0.508,70.3,5.7
RotatingGroups,local,female,3815,1.012,44.4,11.5
RotatingGroups,local,male,3685,1.006,44,11
RotatingGroups,refugee,female,11339,0.319,80.6,3.2
RotatingGroups,refugee,male,11161,0.381,77.9,4.1
Winter50,local,female,3815,1.045,43.9,13.1
Winter50,local,male,3685,1.021,45.4,12.7
Winter50,refugee,female,11339,0.32,80.4,3.2
Winter50,refugee,male,11161,0.387,76.6,3.9
WomenChildcare,local,female,3815,1.123,42.5,14.4
WomenChildcare,local,male,3685,1.123,42.8,14.2
WomenChildcare,refugee,female,11339,0.337,78.6,3
WomenChildcare,refugee,male,11161,0.431,74.6,4.4
Composition2,local,female,3815,0.548,73.8,8
Composition2,local,male,3685,0.598,72.2,8.9
Composition2,refugee,female,11339,0.178,86.1,0.6
Composition2,refugee,male,11161,0.211,83.7,0.8
Composition3,local,female,3815,0.785,61.1,10.9
Composition3,local,male,3685,0.81,60.7,11.7
Composition3,refugee,female,11339,0.247,82.7,1.5
Composition3,refugee,male,11161,0.292,80.1,2
Composition4,local,female,3815,0.988,50.4,13.6
Composition4,local,male,3685,1.03,48.4,13.7
Composition4,refugee,female,11339,0.316,79.7,2.7
Composition4,refugee,male,11161,0.373,76.9,3.4
OpenPopulation,local,female,3815,1.051,41.8,12.3
OpenPopulation,local,male,3685,1.027,42.5,11.2
OpenPopulation,refugee,female,13631,0.266,83.4,2.4
OpenPopulation,refugee,male,13497,0.322,80.4,3.2
SuboptimalOpen,local,female,3815,0.267,86.7,3.6
SuboptimalOpen,local,male,3685,0.271,86.5,3.6
SuboptimalOpen,refugee,female,13681,0.069,93.8,0.1
SuboptimalOpen,refugee,male,13507,0.082,92.7,0.1
CentralityBuddy,local,female,3815,1.475,34.9,22.6
CentralityBuddy,local,male,3685,1.471,34.5,22.7
CentralityBuddy,refugee,female,11339,0.487,71.2,5.2
CentralityBuddy,refugee,male,11161,0.558,67.6,6
RandomBuddy,local,female,3815,1.507,33.7,23.4
RandomBuddy,local,male,3685,1.513,32.6,23.4
RandomBuddy,refugee,female,11339,0.496,71,5.6
RandomBuddy,refugee,male,11161,0.566,67.7,6.5
