"scenario","outcome","diff_obs","n_alt","n_base","p_welch_raw","p_welch_holm","sig_welch_holm","p_ri_raw","p_ri_holm","sig_ri_holm","agree_sig"
"Weak Peer Influence","retention_rate",-3.07266666666667,500,300,2.41497691039795e-14,2.41497691039795e-13,TRUE,9.99900009999e-05,0.0023997600239976,TRUE,TRUE
"Weak Peer Influence","avg_motivation",-0.00359686967036865,500,300,0.31305458977276,1,FALSE,0.301769823017698,1,FALSE,TRUE
"Weak Peer Influence","avg_language_cefr",-0.00927649184354329,500,300,0.37889907048612,1,FALSE,0.381061893810619,1,FALSE,TRUE
"Weak Peer Influence","cross_group_tie_ratio",0.00138669234607114,500,300,0.804045127612658,1,FALSE,0.7997200279972,1,FALSE,TRUE
"Weak Peer Influence","female_dropout_rate",2.62137985314696,500,300,4.38745016163433e-07,3.50996012930746e-06,TRUE,9.99900009999e-05,0.0023997600239976,TRUE,TRUE
"Weak Peer Influence","male_dropout_rate",3.51772637095719,500,300,2.72307965059743e-10,2.45077168553769e-09,TRUE,9.99900009999e-05,0.0023997600239976,TRUE,TRUE
"Suboptimal Composition","retention_rate",-17.1766666666667,300,300,1.73284077839332e-172,4.15881786814398e-171,TRUE,9.99900009999e-05,0.0023997600239976,TRUE,TRUE
"Suboptimal Composition","avg_motivation",-0.0784584402762912,300,300,1.11741504309084e-50,1.67612256463626e-49,TRUE,9.99900009999e-05,0.0023997600239976,TRUE,TRUE
"Suboptimal Composition","avg_language_cefr",-0.092463652900968,300,300,6.08588920445598e-15,6.69447812490158e-14,TRUE,9.99900009999e-05,0.0023997600239976,TRUE,TRUE
"Suboptimal Composition","cross_group_tie_ratio",-0.158866438800336,300,300,3.06416351998979e-47,4.28982892798571e-46,TRUE,9.99900009999e-05,0.0023997600239976,TRUE,TRUE
"Suboptimal Composition","female_dropout_rate",16.905022258161,300,300,1.40538175787486e-119,3.0918398673247e-118,TRUE,9.99900009999e-05,0.0023997600239976,TRUE,TRUE
"Suboptimal Composition","male_dropout_rate",17.3544540724875,300,300,1.02839525024939e-119,2.3653090755736e-118,TRUE,9.99900009999e-05,0.0023997600239976,TRUE,TRUE
"No Indoor Continuity","retention_rate",-10.88,300,300,5.08035016799894e-100,1.06687353527978e-98,TRUE,9.99900009999e-05,0.0023997600239976,TRUE,TRUE
"No Indoor Continuity","avg_motivation",-0.0907822949421466,300,300,3.72674336381548e-71,7.08081239124941e-70,TRUE,9.99900009999e-05,0.0023997600239976,TRUE,TRUE
"No Indoor Continuity","avg_language_cefr",-0.058989176011728,300,300,2.88896987957357e-06,2.0222789157015e-05,TRUE,9.99900009999e-05,0.0023997600239976,TRUE,TRUE
"No Indoor Continuity","cross_group_tie_ratio",-0.0288656871828568,300,300,0.000339656364857493,0.00203793818914496,TRUE,0.0004999500049995,0.002999700029997,TRUE,TRUE
"No Indoor Continuity","female_dropout_rate",10.217541747501,300,300,6.45621822271397e-62,1.09755709786138e-60,TRUE,9.99900009999e-05,0.0023997600239976,TRUE,TRUE
"No Indoor Continuity","male_dropout_rate",11.4896933332187,300,300,1.19042304263028e-65,2.1427614767345e-64,TRUE,9.99900009999e-05,0.0023997600239976,TRUE,TRUE
"Minimal Support","retention_rate",-8.78333333333334,300,300,1.42603194802355e-72,2.8520638960471e-71,TRUE,9.99900009999e-05,0.0023997600239976,TRUE,TRUE
"Minimal Support","avg_motivation",0.00190654929709244,300,300,0.641525387333741,1,FALSE,0.641435856414359,1,FALSE,TRUE
"Minimal Support","avg_language_cefr",-0.0301547638149586,300,300,0.0195818770786728,0.0979093853933638,FALSE,0.0200979902009799,0.1004899510049,FALSE,TRUE
"Minimal Support","cross_group_tie_ratio",-0.062120430055374,300,300,2.43159425019025e-16,2.9179131002283e-15,TRUE,9.99900009999e-05,0.0023997600239976,TRUE,TRUE
"Minimal Support","female_dropout_rate",9.49534690734125,300,300,5.33364756384326e-53,8.53383610214921e-52,TRUE,9.99900009999e-05,0.0023997600239976,TRUE,TRUE
"Minimal Support","male_dropout_rate",8.09856337651945,300,300,6.24296448027592e-36,8.11585382435869e-35,TRUE,9.99900009999e-05,0.0023997600239976,TRUE,TRUE
