scenario,n_runs,mod_q_mean,mod_q_sd,btw_mean,btw_sd,cc_mean,cc_sd,gc_frac_mean,gc_frac_sd,assort_mean,assort_sd,cross_str_mean,cross_str_sd,within_str_mean,within_str_sd
Baseline,300,0.7081585498986519,0.059292710424119426,0.005725206389390189,0.002265824226312185,0.4380828622874055,0.10433558775178599,0.30723838471369147,0.05624970693566272,-0.043631834832683264,0.15007803576931203,0.34817256454974355,0.042699561161494565,0.3600569433252034,0.04436732464937784
BuddyProgram,300,0.7070982252210057,0.06152168834894025,0.005503176926015169,0.0019012519003333524,0.4414332606916609,0.09560422804087251,0.30605490423810133,0.05292392289846824,-0.06172477926318884,0.12569492054691553,0.35131696907946525,0.044257525036661374,0.35777742459987677,0.0389717482249237
High SES Heterogeneity,300,0.7118318760760692,0.06270624464514947,0.0053967849586241115,0.0023324424827155256,0.4313709039584065,0.09575332952776808,0.3027632378279063,0.056709964898896736,-0.0361433368271568,0.14069759768264586,0.36112887534819843,0.044013071061701665,0.36359834517059575,0.04088187271736965
Low Park Density,500,0.6958010867048184,0.07294461889387346,0.006389817001865805,0.0026513610478535593,0.4150781439720567,0.10996989391486506,0.3162299166770643,0.062182236824537815,-0.039601835215267896,0.17000506607596774,0.3146004699615858,0.03945715902938426,0.3429592428696711,0.03835842741166217
Minimal Support,300,0.6846851624589103,0.0780843758471053,0.00666945492610084,0.003795385119404525,0.47046274084978795,0.13235341104524861,0.32586596376929317,0.06515026353284101,-0.06028703501706699,0.1601218249064404,0.32048692387172295,0.053027499133136945,0.36614898218321196,0.049231845208268815
No Indoor Continuity,300,0.6698232704808663,0.08489160829788006,0.009077153282322475,0.006091078349459291,0.3627895707376109,0.1757197167592613,0.3454080797983392,0.08150738105396955,-0.052734096508514725,0.2252366026991273,0.309975795890691,0.048343674512531194,0.3351542473640425,0.047398086687473265
NoIndoor Minimal,300,0.6532016127931667,0.09884242888134732,0.010650976389212186,0.020037427179773144,0.3937691706949964,0.19305106010415257,0.35783306826552463,0.09748936085841468,-0.0898627454447736,0.22223950192836814,0.29207923582755796,0.05045825696288584,0.3352984863763447,0.04770389666784703
RotatingGroups,300,0.5746076479022401,0.06502703337946121,0.0773816232013232,0.031746839705707276,0.1991197346799297,0.09653569071560932,0.8784954849842928,0.15548915592347656,-0.16538505635972475,0.15703805110924607,0.2964836317005398,0.030380340843091946,0.35454822771230865,0.0467429681962633
Suboptimal Composition,300,0.6118385756804212,0.1310198848653227,0.012144197852784153,0.01658654744905271,0.41804890906707015,0.20504816090102673,0.3877905065325308,0.11093523596209573,-0.09926728060271066,0.22503299192302198,0.3395836486831385,0.07542880205084213,0.3195225290815488,0.06806957009523097
Targeting50,300,0.6974254069072648,0.06612337098463475,0.0061420173735127785,0.0023091807377855576,0.44724148984109813,0.11199026065890727,0.3150058628270741,0.05949458401910763,-0.04675023712640647,0.14926125287392644,0.33761219977672097,0.04674346983724563,0.36223478474269394,0.044991138322942124
Targeting70,300,0.6940391041154094,0.06996918083470588,0.0061325060854029185,0.002352916110603769,0.4451761144803991,0.10762291313559406,0.31733972364720414,0.05741565539690907,-0.061184319176729125,0.14821984638165836,0.34235195570232124,0.04515018413009835,0.36496195239060764,0.04152860162679258
Targeting90,300,0.7014434744540106,0.06821902042698416,0.005958155121640527,0.0026632187485620268,0.43945585423403344,0.10837719123222975,0.3097743734662478,0.06112694132655053,-0.029818136143356707,0.14625853037124978,0.3426547617493954,0.04469992618854131,0.36018252797924016,0.04221064046879452
Weak Peer Influence,500,0.7018884997831715,0.06351887834528833,0.005869508016014441,0.0024573521456703064,0.45032477410798993,0.10734868160501365,0.3077599569659445,0.056928405555773526,-0.05239526337209101,0.1462317999379485,0.3471415080807804,0.04559651234260841,0.3585953917934849,0.04175965274714759
Winter50,300,0.6799701569954313,0.07324827953471273,0.006581851784206339,0.0025723921128736815,0.4391855580395075,0.1052291738834115,0.326776647443841,0.059978329104408486,-0.043287748987254376,0.14782856410317488,0.34366103682414,0.04645910608681463,0.35689665101137497,0.04455503822776935
Women-Only Groups,500,0.7007392765556901,0.06405984885955121,0.006488578705762781,0.0028498094584648186,0.42748083011801674,0.10842393899842981,0.32376887774381174,0.06303167651346163,-0.012950397272833297,0.16485062273157722,0.3395664107627064,0.046033475476351976,0.356474340076746,0.04057720118258312
WomenChildcare,300,0.7010723714289777,0.06203987875895259,0.006540443722271955,0.0035234723651620644,0.41486603509886344,0.10566358614300106,0.3244196429831106,0.06927586971857677,-0.006600321498034258,0.15058720517264268,0.34398275687670476,0.044195367148770544,0.3545892595753553,0.04087394592937298
