scenario,n,p_retention,p_cross_tie,p_cost_ok,p_language,p_joint_primary,p_joint_all
Baseline,300,86.3,90.7,86.3,61.7,79,49.7
No Indoor Continuity,300,15,76,15,42.3,13.7,6.3
Minimal Support,300,25,69.3,25,54.3,20.7,12.3
Low Park Density,500,71,86.2,71,54.6,62,34.6
Weak Peer Influence,500,69,91,69,57.6,64.2,39.6
Suboptimal Composition,300,1,33.7,1,39.7,0.3,0
High SES Heterogeneity,300,93,93.7,93,58.3,87.7,52.3
Women-Only Groups,500,78.6,83.8,78.6,59.2,67.6,43.4
NoIndoor Minimal,300,0,51.3,0,53.7,0,0
Targeting50,300,61.3,84.7,61.3,54.7,53.7,32
Targeting70,300,63.3,91.3,63.3,57.7,59,36.3
Targeting90,300,71,87.3,71,57.3,64,39
BuddyProgram,300,95,95.3,95,62.7,91.3,57.7
RotatingGroups,300,69,92,69,50.7,65.3,35
Winter50,300,70,90,70,59.3,65.7,39.7
WomenChildcare,300,87,88.3,87,59.3,76.7,47.7
Composition2,300,9.3,75.3,9.3,40.3,5.3,2
Composition3,300,27,90,27,48,23.7,12
Composition4,300,59,93.7,59,51.3,57.7,28.7
OpenPopulation,300,55,91.7,89.3,10.7,52,6.7
SuboptimalOpen,300,0.3,39.3,6,5.3,0,0
CentralityBuddy,300,96.7,97.7,96.7,68.3,95,65.3
RandomBuddy,300,95.3,97,95.3,64.3,92.7,60.3
